WHO report date,"Total Cases, Guinea","Total Deaths, Guinea","Total Cases, Liberia","Total Deaths, Liberia","Total Cases, Sierra Leone","Total Deaths, Sierra Leone",Total Cases,Total Deaths
3/25/2014,86,59,0,0,0,0,86,59
3/26/2014,86,60,0,0,0,0,86,60
3/27/2014,103,66,8,6,6,5,117,77
3/31/2014,112,70,8,6,0,0,120,76
4/1/2014,122,80,8,2,0,0,130,82
4/2/2014,127,83,8,5,0,0,135,88
4/7/2014,151,95,18,7,0,0,169,102
4/10/2014,157,101,22,14,0,0,179,115
4/17/2014,197,122,27,13,0,0,224,135
4/21/2014,203,129,27,13,0,0,230,142
4/23/2014,208,136,34,11,0,0,242,147
4/30/2014,221,146,13,11,0,0,234,157
5/5/2014,231,155,13,11,0,0,244,166
5/14/2014,233,157,12,11,0,0,245,168
5/23/2014,258,174,12,9,0,0,270,183
5/27/2014,258,174,12,9,1,4,271,187
5/28/2014,281,186,12,9,16,5,309,200
6/2/2014,291,193,13,9,50,6,354,208
6/5/2014,344,215,13,9,81,7,438,231
6/10/2014,372,236,15,10,89,7,476,253
6/11/2014,376,241,15,10,117,19,508,270
6/18/2014,398,264,33,24,97,49,528,337
6/24/2014,390,270,51,34,158,34,599,338
7/2/2014,413,303,107,65,239,99,759,467
7/7/2014,412,305,115,75,252,101,779,481
7/8/2014,408,307,131,84,305,127,844,518
7/14/2014,409,309,142,88,337,142,888,539
7/16/2014,406,304,172,105,386,192,964,601
7/21/2014,410,310,196,116,442,206,1048,632
7/24/2014,415,314,224,127,454,219,1093,660
7/28/2014,427,319,249,129,525,224,1201,672
7/31/2014,460,339,329,156,533,233,1322,728
8/3/2014,472,346,391,227,574,252,1437,825
8/4/2014,485,358,486,255,646,273,1617,886
8/8/2014,495,367,554,294,717,298,1766,959
8/12/2014,506,373,599,323,730,315,1835,1011
8/13/2014,510,377,670,355,783,334,1963,1066
8/15/2014,519,380,786,348,810,348,2115,1076
8/19/2014,543,394,834,466,848,365,2225,1225
8/21/2014,579,396,972,576,907,374,2458,1346
8/22/2014,607,406,1082,624,910,392,2599,1422
8/28/2014,648,430,1378,694,1026,422,3052,1546
9/6/2014,812,517,1871,1089,1261,491,3944,2097
9/8/2014,862,555,2046,1224,1361,509,4269,2288
9/12/2014,861,557,2081,1137,1424,524,4366,2218
9/16/2014,936,595,2407,1296,1620,562,4963,2453
9/18/2014,942,601,2710,1459,1673,562,5325,2622
9/22/2014,1008,632,3022,1578,1813,593,5843,2803
9/24/2014,1022,635,3280,1677,1940,597,6242,2909
9/26/2014,1074,648,3458,1830,2021,605,6553,3083
10/1/2014,1157,710,3696,1998,2304,622,7157,3330
10/3/2014,1199,739,3834,2069,2437,623,7470,3431
10/8/2014,1298,768,3924,2210,2789,879,8011,3857
10/10/2014,1350,778,4076,2316,2950,930,8376,4024
10/15/2014,1472,843,4249,2458,3252,1183,8973,4484
10/17/2014,1519,862,4262,2484,3410,1200,9191,4546
10/22/2014,1540,904,4665,2705,3706,1359,9911,4968
10/25/2014,1553,926,4665,2705,3896,1281,10114,4912
10/29/2014,1906,997,6535,2413,5235,1500,13676,4910
10/31/2014,1667,1018,6535,2413,5338,1510,13540,4941
11/5/2014,1731,1041,6525,2697,4759,1070,13015,4808
11/7/2014,1760,1054,6619,2766,4862,1130,13241,4950
11/12/2014,1878,1142,6822,2836,5368,1169,14068,5147
11/14/2014,1919,1166,6878,2812,5586,1187,14383,5165
11/19/2014,1971,1192,7069,2964,6073,1250,15113,5406
11/21/2014,2047,1214,7082,2963,6190,1267,15319,5444
11/26/2014,2134,1260,7168,3016,6599,1398,15901,5674
11/28/2014,2155,1312,7635,3145,7109,1530,16899,5987
12/3/2014,2164,1327,7635,3145,7312,1583,17111,6055
12/10/2014,2292,1428,7719,3177,7897,1768,17908,6373
12/17/2014,2416,1525,7797,3290,8356,2085,18569,6900
12/24/2014,2597,1607,7862,3384,9004,2582,19463,7573
12/31/2014,2707,1708,8018,3423,9446,2758,20171,7889
1/7/2015,2775,1781,8157,3496,9780,2943,20712,8220
1/14/2015,2806,1814,8331,3538,10124,3062,21261,8414
1/21/2015,2871,1876,8478,3605,10340,3145,21689,8626
1/28/2015,2917,1910,8622,3686,10518,3199,22057,8795
2/4/2015,2975,1944,8745,3746,10740,3276,22460,8966
